conv,기대,실제,ok,err,fails,answer,tools,가드레일
C-012,ANSWER,ANSWER,False,,"must 누락: ""품절""","안녕하세요. 현재 스틸스니커즈 230 사이즈의 재고는 없습니다. 다른 사이즈를 추천해 드릴 수 있습니다. 필요하시다면 다른 사이즈를 확인해 보시겠어요?

만약 다른 사이즈로 변경하지 않으시고 반드시 230 사이즈가 필요하시다면, 재입고 예정일에 대해 안내해 드리겠습니다. 재입고 예정일은 아직 확정되지 않았습니다, 하지만 최신 정보를 확인해드리겠습니다.

추가로 도움이 필요하시면 언제든지 알려주세요!","search_product,get_product_detail",ok
C-013,ANSWER,ANSWER,False,,"tools 미호출: ['get_return_status']; must 누락: ""34000""","O-1007 주문의 경우 현재 ""승인 완료 · 환불 처리중"" 상태입니다. 전체 처리 소요 기간은 3~7영업일이지만, 현재 상태에서는 환불이 진행 중인 것으로 보입니다.

환불이 언제 완료될지는 정확히 예측하기 어렵습니다. 하지만 일반적인 처리 시간을 고려해보면, 현재부터 2~3영업일 후에 환불이 완료될 가능성이 높습니다. 

具体的来说，订单O-1007目前处于“已批准，正在处理退款”的状态。整个处理周期大约为3到7个工作日。但由于当前正在处理退款，具体何时完成还无法确定。不过，通常情况下，从现在开始的2到3个工作日内，退款应该会完成。

如果您希望获得更准确的退款时间，建议您直接联系客服进行确认。他们可以根据订单的具体情况给出更准确的答复。",get_order_status,ok
C-014,ANSWER,ANSWER,False,,"must 누락: ""40000""","레깅스의 배송비는 상품 카테고리에 따라 다릅니다. 먼저, 레깅스는 의류·잡화 카테고리에 속합니다. 따라서 배송비는 다음과 같습니다:

- **전체 반품 (왕복)**: 5,000원
- **부분 반품 (편도)**: 2,500원

이 정보는 모든 레깅스 상품에 적용되며, 주문 수량과 무관합니다. 만약 전체 레깅스를 반품하는 경우 5,000원의 왕복 배송비가 발생합니다. 부분적으로만 반품하는 경우 2,500원의 편도 배송비가 필요합니다.

만약 추가로 궁금한 사항이 있으시다면 언제든지 알려주세요!",get_shipping_policy,ok
C-015,ASK,ANSWER,False,,"action: 기대 ASK != 실제 ANSWER; forbid 위반: ""변경이 불가""; ASK 인데 되묻는 문장이 아님","안녕하세요, 고객님. 현재 주문하신 티셔츠의 수량 및 옵션 변경은 송장 출력 전까지만 가능합니다. 이미 송장이 출력된 상태라면 변경이 불가능합니다.

현재 티셔츠를 수령하지 않으셨다면, 수령 후 반품 절차를 거쳐 새로운 사이즈를 주문해 보시는 것이 좋겠습니다. 반품 후 새로운 사이즈의 티셔츠를 주문하시면 교환 처리가 진행됩니다.

有任何其他问题需要帮助吗？",,ok
C-016,ANSWER,ANSWER,False,,"must 누락: ""7""","안녕하세요. 고객님. 

주문 접수 후에는 **송장이 출력된 이후에는 변경이 불가능**합니다. 현재 송장이 이미 출력된 상태이므로 색상을 변경할 수 없습니다.

하지만 수령 후 교환을 원하시면, **반품 절차를 진행**해 주시고, 다시 주문하시면 색상 변경이 가능합니다. 반품 비용은 고객님께서 부담해 주셔야 합니다.

혹은 고객님의 편의를 위해 **대체 상품을 발송**해 드릴 수 있습니다. 브라운 색상의 가죽 자켓이 재고에 있는지 확인해 보겠습니다.

有任何其他问题或需要进一步帮助吗？","get_order_status,get_product_options,get_product_detail",ok
C-017,ANSWER,ASK,False,,action: 기대 ANSWER != 실제 ASK; tools 미호출: ['get_product_detail'],"안녕하세요! 핸드메이드 트렌치 코트 L 사이즈를 주문해 주셔서 감사합니다.

**주의사항 안내:**
- 핸드메이드 트렌치 코트는 주문 제작 상품으로, 교환 및 반품이 불가합니다.
- 주문 접수 후 ○영업일이 소요된 후 출고됩니다.

이 조건에 동의하시면 주문을 진행해 드리겠습니다. 다른 문의사항이 있으시면 언제든지 말씀해 주세요!",,ok
C-018,ANSWER,ANSWER,False,,"tools 미호출: ['get_product_detail']; must 누락: ""95""","안녕하세요. 브라·팬티 세트 80A를 구매해 주셔서 감사합니다.

브라·팬티 세트는 **세트로만 판매**되므로, 브라 80A와 함께 팬티도 80A 사이즈로 출고됩니다. 

만약 다른 사이즈의 팬티가 필요하시다면, 다른 옵션을 선택해 주시거나, 다른 세트를 추천해 드릴 수 있습니다. 추가로 도움이 필요하시면 언제든지 말씀해 주세요!","search_product,get_product_options",ok
C-019,ANSWER,ANSWER,False,,"tools 미호출: ['get_restock_info']; must 누락: ""9월 1일""","안녕하세요. 현재 ""가죽 자켓""의 재고는 12벌이 있습니다. XL 사이즈는 재고가 확인되었습니다.

""가죽 자켓 XL""을 주문하시면 출고가 가능합니다. 주문 후 배송은 3영업일 내로 진행될 예정입니다.

有任何其他问题吗？如果有其他问题，请随时告诉我。","search_product,get_product_detail",ok
C-020,ANSWER,ASK,False,,action: 기대 ANSWER != 실제 ASK; tools 미호출: ['get_product_options'],"안녕하세요! 발열 내의 상의에 대해 문의해 주셔서 감사합니다.

먼저, 해당 상품의 구성품 중 발열 내의 상의만 따로 구매할 수 있는지 확인해 보겠습니다.

**[어드민 조회]** 어드민 > 상품관리 > 상품 상세 > **옵션·구성** 탭

해당 상품 페이지에서 확인한 결과, 발열 내의 상의만 따로 구매할 수 있는지 안내드리겠습니다.

만약 발열 내의 상의만 구매할 수 없다면, 다른 구성품과 함께 세트로 구매해야 한다는 점을 미리 알려드리는 것이 좋겠습니다.

이런 경우에는 다음과 같이 안내해 드릴 수 있습니다:

""발열 내의 상의만 따로 구매할 수 없습니다. 발열 내의 상의와 다른 구성품을 함께 세트로 구매해야 합니다. 다른 구성품과 함께 구매하시겠습니까?""

혹은, 발열 내의 상의만 구매할 수 있다면 다음과 같이 안내해 드릴 수 있습니다:

""발열 내의 상의만 따로 구매할 수 있습니다. 다른 구성품과 함께 세트로 구매하실 수도 있습니다. 구매 방법에 대해 자세히 안내해 드릴 수 있습니다.""

이런 방식으로 안내하면 고객이 정확한 정보를 얻을 수 있을 것입니다. 추가로 궁금한 점이 있으시면 언제든지 알려주세요!",,ok
C-021,ANSWER,ANSWER,False,,"must 누락: ""80""","안녕하세요. 고객님. 

슬립 원피스 상세페이지에 표기된 소재와 실제 수령품에 적힌 소재가 다름을 확인해 주셔서 감사합니다. 

**사과 드립니다.** 이는 정확한 정보 제공에 실패한 점에 대해 사과드립니다.

**정확한 소재 정보를 안내해 드리겠습니다.** 실제 수령품에는 폴리에스터 65%, 코튼 35%가 표기되어 있습니다.

**현재 확인한 내용을 담당 부서에 전달했고, 조치를 취할 예정입니다.** 

**구매하신 상품에 대해 불편을 드려 죄송합니다.** 

**무료 반품 대상**으로 인정되므로, 반품을 원하시면 언제든지 안내해 드리겠습니다.

이런 사항이 있으시면 언제든지 말씀해 주세요. 고객님의 만족을 위해 최선을 다하겠습니다.","search_product,get_product_detail,get_product_options,escalate_to_agent",ok
C-022,ANSWER,ANSWER,True,,,"안녕하세요! M 사이즈의 가죽 자켓은 어깨 45cm, 가슴 106cm, 총장 67cm의 실측 치수입니다. 고객님의 몸형을 기준으로 M 사이즈가 적합할 것으로 추정되지만, 정확한 사이즈는 직접 착용해보시는 것이 가장 좋습니다. 

만약 고객님의 몸형에 맞지 않는 경우에는 S 또는 L 사이즈를 추천해 드릴 수 있습니다. 사이즈 선택에 대해 더 궁금한 점이 있으시다면 언제든지 알려주세요!","search_product,get_product_options,get_product_detail",ok
C-023,ANSWER,ANSWER,True,,,"안녕하세요! 현재 ""어성초 기초 케어 세트""에는 아이 크림이 포함되어 있지 않습니다. 세트에 포함된 제품은 어성초 토너 200ml, 어성초 로션 150ml, 어성초 크림 50ml입니다.

추가로 궁금한 점이 있으시면 언제든지 알려주세요!","search_product,get_product_detail",ok
C-024,ANSWER,ANSWER,False,,"tools 미호출: ['get_product_detail']; must 누락: ""신축성""; must 누락: ""5000""","감사합니다. 고객님의 의견을 잘 들었습니다.

현재 확인한 정보로는 검정 레깅스 M 제품의 사이즈에 대한 불만이 있습니다. 먼저, 사이즈가 표기보다 커진다는 점에 대해 사과드립니다.

정확한 사이즈 정보는 실측 치수를 기준으로 제공됩니다. 고객님의 제품의 경우, 사이즈 표기가 표기보다 크다는 점을 확인했습니다. 이는 고객님의 구매 전 안내가 부족한 점으로 인해 발생한 문제입니다.

이 문제에 대해 저희는 다음과 같이 조치하겠습니다:
1. 사이즈 표기와 실측 사이즈 차이에 대해 사과드립니다.
2. 정확한 사이즈 정보를 안내드리겠습니다.
3. 담당 부서에 이 문제를 전달하여 수정될 예정입니다.

이 문제로 인해 구매하신 제품을 반품하려는 경우, 무료 반품 사유가 적용됩니다. 따라서 반품 배송비는 모두몰에서 부담하겠습니다.

추가로 궁금한 점이 있으시면 언제든지 알려주세요. 고객님의 만족을 위해 최선을 다하겠습니다.","search_product,get_return_policy",ok
C-025,ANSWER,ANSWER,False,,"must 누락: ""925""","안녕하세요! 실버 체인 목걸이의 품질보증서 동봉 여부를 안내해 드리겠습니다.

품질보증서는 **상품마다 다르게 동봉됩니다**. 실버 체인 목걸이는 **소재에 따라 품질보증서가 동봉되지 않을 수도 있습니다**.

만약 품질보증서가 동봉되지 않았다면, 이는 소재 특성상의 문제일 수 있습니다. 모두몰에서 판매하는 모든 상품은 정품입니다. 

만약 품질 문제로 인해 상품을 반품하려는 경우, 품질보증서가 없더라도 **무료 반품이 가능합니다**. 

추가로 궁금한 점이 있으시면 언제든지 알려주세요!","search_product,get_product_detail",ok
C-026,ANSWER,ANSWER,True,,,"안녕하세요! 크로스백 78,000원의 배송비는 2,500원입니다. 무료배송 기준은 결제 금액이 50,000원 이상이어야 적용됩니다. 현재 담아두신 금액이 50,000원 미만이라 배송비가 발생합니다. 

만약 추가 구매를 하시면 무료배송으로 변경하실 수 있습니다. 구매하실 상품을 알려주시면 자세한 안내를 드릴 수 있습니다.","search_product,get_shipping_policy",ok
C-027,ASK,ANSWER,False,,action: 기대 ASK != 실제 ANSWER,"안녕하세요. 당일배송은 지역에 따라 제공 여부가 달라, 배송받으실 지역을 먼저 알려 주시겠어요?","get_shipping_policy,search_product",ok
C-028,ANSWER,ANSWER,True,,,"안녕하세요. 제주도 배송에 대해 안내해 드리겠습니다.

현재 제주도서산간 지역은 당일배송이 제공되지 않으며, 추가 배송비 3,000원이 부과됩니다.

배송비가 추가로 붙는 이유는 제주도 지역의 배송 특성상 추가 비용이 발생하기 때문입니다. 

현재 주문 상태는 어떻게 되셨나요? 출고가 완료되었는지 확인해 보겠습니다.

---

**[어드민 조회]** 어드민 > 주문관리 > 주문 상세

1. 주문번호로 현재 단계를 조회합니다.
2. 현재 상태를 안내합니다. (결제완료 / 출고대기 / 출고완료 / 배송중 / 배송완료)
3. 남은 예상 기간을 안내합니다.
4. 지연된 건이면 사유와 함께 사과합니다.

만약 배송이 지연될 가능성이 있다면, 사유와 함께 사과의 말씀을 드리겠습니다.",get_shipping_policy,ok
C-029,ASK,ANSWER,False,,action: 기대 ASK != 실제 ANSWER,"안녕하세요. 오늘 주문하신 경우, 주문 시각이 11:00 이전이면 당일 출고가 가능합니다. 11:00 이후 주문은 익영업일 출고가 됩니다.

현재 주문 시각을 확인해 보겠습니다. 주문번호를 알려주시면 더욱 정확한 정보를 안내해 드릴 수 있습니다. 주문번호를 알려주시겠어요?","get_order_status,get_shipping_policy",ok
C-030,ANSWER,ANSWER,False,,"tools 미호출: ['get_return_status']; forbid 위반: ""고객님 부담""; forbid 위반: ""5000원""","네, 해당 상황에서는 단순 변심으로 인한 교환인 경우 배송비는 고객님이 부담해야 합니다. 

반품 배송비는 **5,000원**이 적용되며, 이 비용은 환불 금액에서 차감되거나 별도로 송금 받아야 합니다. 

다만, 배송비 처리는 상품이 입고된 후 검품 단계에서 하자가 없는 경우에 고객 부담으로 처리됩니다. 

따라서, 자켓이 입고된 후 검품에서 하자가 확인되면 배송비는 차감되지 않으며, 이미 받으신 배송비는 환급될 수 있습니다.

**고객님에게 안내할 내용:**

""안녕하세요. 자켓의 색상이 맞지 않아 교환을 원하시는 것으로 알고 있습니다. 단순 변심인 경우 배송비는 고객님 부담으로 5,000원이 발생합니다. 

배송비는 환불 금액에서 차감되거나 별도로 송금 받아야 합니다. 

검품에서 하자가 확인되면 배송비는 차감되지 않으며, 이미 받으신 배송비는 환급될 수 있습니다. 

만약 검품에서 하자가 확인되면, 배송비 처리에 대해 추가로 안내드리겠습니다.""

이런 식으로 고객님에게 안내하시면 이해를 돕는 데 도움이 될 것입니다.",,ok
C-031,ASK,ANSWER,False,,action: 기대 ASK != 실제 ANSWER; ASK 인데 되묻는 문장이 아님,"반품 접수 후 1~2영업일 내에 택배 기사가 방문하여 상품을 수거합니다. 

수거가 이루어지지 않은 경우에는 재수거 접수를 해주시기 바랍니다. 

만약 명절 연휴 기간 중 접수하신 경우에는 연휴 이후에 수거가 이루어질 예정입니다. 

수거가 이루어지지 않은 경우에는 언제든지 고객센터에 문의해 주세요.",,ok
C-032,ANSWER,ANSWER,True,,,"티셔츠 3장 중에 전부를 반품하는 경우, 배송비는 **5,000원**입니다.

배송비 요건은 다음과 같습니다:

- **전체 반품** (왕복) : 5,000원
- **부분 반품** (편도) : 2,500원

티셔츠 3장을 모두 반품하는 것은 전체 반품에 해당하므로, 배송비는 5,000원입니다.","search_product,get_return_policy,get_shipping_policy",ok
C-034,OUT_OF_SCOPE,ANSWER,False,,"action: 기대 OUT_OF_SCOPE != 실제 ANSWER; must 누락: ""제조사""","시계 수리를 위해서는 다음과 같은 절차를 따르시면 됩니다:

1. **반품 접수**:
   - 모두몰 고객센터에 문의하여 시계의 수리를 위해 반품 접수를 해주세요.
   - 반품 사유는 ""하자""로 기재하고, 상세한 사유를 설명해 주세요 (예: 시계가 멈췄습니다).

2. **택배 회수**:
   - 모두몰 지정택배사인 롯데택배로 반품을 진행합니다. 착불 발송이 가능합니다.
   - 반품 배송비는 모두몰에서 부담합니다.

3. **수리**:
   - 모두몰은 수리를 위해 제3자 수리업체에 위탁합니다. 수리 비용은 모두몰에서 부담합니다.

4. **교환 또는 환불**:
   - 수리가 완료되면 고객에게 수리된 시계를 다시 보내거나, 원래 구매한 금액으로 환불합니다.

5. **접수 후 처리 시간**:
   - 접수부터 수리 완료까지는 약 3~7영업일 소요될 수 있습니다.

**주의사항:**
- 수리 요청 시 상세한 사유를 설명해 주세요.
- 수리 후 고객에게 다시 보내는 경우, 수리된 시계가 도착한 후에만 수령해 주세요.
- 수리 비용은 모두몰에서 부담하므로 추가 비용은 발생하지 않습니다.

만약 추가로 궁금한 점이 있으시면 고객센터에 문의해 주세요.",,ok
